Language	Studie	Age Range	Plosives	Nasals	Trills, taps, and flaps	Fricatives	Lateral fricatives	Approximants and laterals	Affricates	Clicks	Implosives	Ejectives
Hungarian (hun)	1	36–96	/p, b, t, d, k, ɡ/	/m, n, ɲ/	/r/	/f, v, s, z, ʃ, ʒ, h/	—	/j, l/	/ʦ, ʧ, cç, ɟʝ/	—	—	—
Icelandic (isl)	1	28–40	/p, ph, t, th, c, ch, k, kh/	/m, n, (n̥)/	/(r), (r̥)/	/f, (θ), ð̨, s, ç, h/	—	/ʋ, j, (ɰ), l, (l̥)/	—	—	—	—
Italian (ita)	1	18–27	/p, b, t, d, k, (ɡ)/	/m, n/	/(r)/	/(f), (v), (s)/	—	/(ɹ), l/	/(ʧ), (ʤ)/	—	—	—
Jamaican Creole (jam)	1	12–54	/p, b, t, d, k, ɡ/	/m, n, ŋ/	—	/f, v, (θ), (ð), s, z, ʃ, (ʒ), (h)/	—	/ɹ, j, l, w/	/ʧ, ʤ/	—	—	—
Japanese (jpn)	5	12–83	/p, b, t, d, k, ɡ/	/m, n/	/ɾ/	/ɸ, s, z, ç, ɕ, h/	—	/j, w/	/ʦ, cɕ, ɟʑ/	—	—	—
Korean (kor)	4	5–85	/p, p*, ph, t, t*, th, k, k*, kh/	/m, n, ŋ/	—	/s, s*, h/	—	/l/	/ʨ, ʨ*, ʨh/	—	—	—
Malay (msa)	1	48–77	/p, b, t, d, k, ɡ, Ɂ/	/m, n, ɲ, ŋ/	—	/s, h/	—	/ɹ, j, l, w/	/ʧ, ʤ/	—	—	—
Maltese (mlt)	1	24–42	/p, b, t, d, k, ɡ, Ɂ/	/m, n/	—	/f, v, s, ʃ, h/	—	/ɹ, j, l, w/	/ʧ, ʤ/	—	—	—
Mandarin (Putonghua; cmn)	1	18–54	/p, ph, t, th, k, kh/	/m, n/	—	/f, s, ʂ, ɕ, x/	—	/ɹ, l/	/ʦ, tsh, tʂ, tʂh, ʨ, ʨh/	—	—	—
Portuguese (pot)	3	24–95	/p, b, t, d, k, ɡ/	/m, n, ɲ/	/r, ʀ, ɾ/	/f, v, θ, ð, s, z, ʃ, ʒ, x/	—	/l, ʎ/	/ʧ, ʤ/	—	—	—
Setswana (Tswana; tsn)	1	36–71	/ph, b, th, twh, d, kh, kwh/	/m, n, nw, ɲ, ŋ, ŋw/	/(r), (rw)/	/f, s, sw, x, xw, h/	—	/j, l, lw, w/	/tsh, tshw, tɬh, tɬwh, ʧh, ʤ, ʤw, kxhw/	—	—	/p', t', tw', k', kw', ts', tsw'/
Slovenian (slv)	1	29–67	/p, b, t, d, k, ɡ/	/m, n/	/(r)/	/f, v, (s), (z), (ʃ), (ʒ), x/	—	/j, l/	/(ʦ), (ʧ)/	—	—	—
Spanish (spa)	4	23–107	/p, b, t, d, k, ɡ/	/m, n, ɲ, ŋ/	/r, ɾ/	/β, f, ð, s, ʒ, x/	—	/j, l, w/	/ʧ, ʤ/	—	—	—
Swahili (swa)	1	36–71	/p, b, t, d, k, ɡ/	/m, n, ɲ, ŋ/	/r/	/f, v, θ, ð, s, z, ʃ, h/	—	/j, l, w/	/ʧ/	—	—	—
Turkish (tur)	3	12–107	/p, b, t, d, c, ɟ, k, ɡ/	/m, n/	/ɾ/	/f, v, s, z, ʃ, ʒ, ɣ, h/	—	/ʋ, j, l, ɫ/	/ʧ, ʤ/	—	—	—
Xhosa (xho)	3	12–72	/p, ph, b, t, th, d, ch, ɟ, k, kh, ɡ/	/m, n, ɲ, ŋ/	/r/	/f, v, s, z, ʃ, x, ɣ, ɦ, h/	/ɬ, ɮ/	/j, l, w/	/ʦh, ʣ, tɬ, ʧ, ʧh, ʤ/	/|, |h, !, !h, ||, ||h/	/ɓ/	/p', t', c', k', ts', ʧ', kx'/
